No.;Athlete;Nation;Sport;Years;Games;Gender;Gold;Silver;Bronze;Total
108;Matt Grevers;USA;Swimming;2008–2012;Summer;M;4;2;0;6
108;Lucien Gaudin;FRA;Fencing;1920–1928;Summer;M;4;2;0;6
72;Missy Franklin;USA;Swimming;2012–2016;Summer;F;5;0;1;6
122;Darya Domracheva;BLR;Biathlon;2010–2018;Winter;F;4;1;1;6
108;Giuseppe Delfino;ITA;Fencing;1952–1964;Summer;M;4;2;0;6
72;Georgeta Damian;ROU;Rowing;2000–2008;Summer;F;5;0;1;6
108;Christian d'Oriola;FRA;Fencing;1948–1956;Summer;M;4;2;0;6
72;Bonnie Blair;USA;Speed skating;1988–1994;Winter;F;5;0;1;6
65;Thomas Alsgaard;NOR;Cross-country skiing;1994–2002;Winter;M;5;1;0;6
132;Nikolay Zimyatov;USSR;Cross-country skiing;1980–1984;Winter;M;4;1;0;5
132;Emil Zátopek;CZR;Athletics;1948–1952;Summer;M;4;1;0;5
159;Giorgio Zampori;ITA;Gymnastics;1912–1924;Summer;M;4;0;1;5
132;Venus Williams;USA;Tennis;2000–2016;Summer;F;4;1;0;5
132;Hayley Wickenheiser;CAN;Ice hockey;1998–2014;Winter;F;4;1;0;5
132;Wang Nan;CHN;Table tennis;2000–2008;Summer;F;4;1;0;5
132;Alexander Tikhonov;USSR;Biathlon;1968–1980;Winter;M;4;1;0;5
132;Ecaterina Szabo;ROU;Gymnastics;1984;Summer;F;4;1;0;5
159;Viorica SUSAnu;ROU;Rowing;2000–2008;Summer;F;4;0;1;5
132;Mel Sheppard;USA;Athletics;1908–1912;Summer;M;4;1;0;5
79;Svetlana Romashina;RUS;Synchronized swimming;2008–2016;Summer;F;5;0;0;5
159;Sanya Richards-Ross;USA;Athletics;2004–2012;Summer;F;4;0;1;5
159;Stanislav Pozdnyakov;RUS;Fencing;1992–2004;Summer;M;4;0;1;5
132;Charles Pahud de Mortanges;NLD;Equestrian;1924–1936;Summer;M;4;1;0;5
159;Jon Olsen;USA;Swimming;1992–1996;Summer;M;4;0;1;5
132;Matti Nykänen;FIN;Ski jumping;1984–1988;Winter;M;4;1;0;5
132;John Naber;USA;Swimming;1976;Summer;M;4;1;0;5
132;Valentin Muratov;USSR;Gymnastics;1952–1956;Summer;M;4;1;0;5
132;Greg Louganis;USA;Diving;1976–1988;Summer;M;4;1;0;5
159;Li Xiaopeng;CHN;Gymnastics;2000–2008;Summer;M;4;0;1;5
132;André Lange;NEM;Bobsleigh;2002–2010;Winter;M;4;1;0;5
132;Johann Olav Koss;NOR;Speed skating;1992–1994;Winter;M;4;1;0;5
132;Hannes Kolehmainen;FIN;Athletics;1912–1920;Summer;M;4;1;0;5
132;Yana Klochkova;UKR;Swimming;2000–2004;Summer;F;4;1;0;5
79;Natalia Ishchenko;RUS;Synchronized swimming;2008–2016;Summer;F;5;0;0;5
159;Marcus Hurley;USA;Cycling;1904;Summer;M;4;0;1;5
79;Eric Heiden;USA;Speed skating;1980;Winter;M;5;0;0;5
132;Jayna Hefford;CAN;Ice hockey;1998–2014;Winter;F;4;1;0;5
132;Yevgeny Grishin;USSR;Speed skating;1956–1964;Winter;M;4;1;0;5
159;Natalie Geisenberger;NEM;Luge;2010–2018;Winter;F;4;0;1;5
132;Fu Mingxia;CHN;Diving;1992–2000;Summer;F;4;1;0;5
132;Ramón Fonst;CUB;Fencing;1900–1904;Summer;M;4;1;0;5
79;Morris Fisher;USA;Shooting;1920–1924;Summer;M;5;0;0;5
132;Ian Ferguson;NZL;Canoeing;1984–1988;Summer;M;4;1;0;5
132;Janet Evans;USA;Swimming;1988–1992;Summer;F;4;1;0;5
159;Teresa Edwards;USA;Basketball;1984–2000;Summer;F;4;0;1;5
79;Anastasia Davydova;RUS;Synchronized swimming;2004–2012;Summer;F;5;0;0;5
159;Chun Lee-Kyung;KOR;Short track speed skating;1994–1998;Winter;F;4;0;1;5
79;Chen Ruolin;CHN;Diving;2008–2016;Summer;F;5;0;0;5
159;Kathrin Boron;NEM;Rowing;1992–2008;Summer;F;4;0;1;5
159;Simone Biles;USA;Gymnastics;2016;Summer;F;4;0;1;5
159;Ludger Beerbaum;NEM;Equestrian;1988–2016;Summer;M;4;0;1;5
132;Evelyn Ashford;USA;Athletics;1984–1992;Summer;F;4;1;0;5
132;Vladimir Artemov;USSR;Gymnastics;1988;Summer;M;4;1;0;5
132;Ben Ainslie;GBR;Sailing;1996–2012;Summer;M;4;1;0;5
172;Zhang Yining;CHN;Table tennis;2004–2008;Summer;F;4;0;0;4
172;Bärbel Wöckel;NEM;Athletics;1976–1980;Summer;F;4;0;0;4
172;Serena Williams;USA;Tennis;2000–2012;Summer;F;4;0;0;4
172;Tobias Wendl;NEM;Luge;2014–2018;Winter;M;4;0;0;4
172;Thomas Wassberg;SWE;Cross-country skiing;1980–1988;Winter;M;4;0;0;4
172;Lasse Virén;FIN;Athletics;1972–1976;Summer;M;4;0;0;4
172;Nicole Uphoff;NEM;Equestrian;1988–1992;Summer;F;4;0;0;4
172;Diana Taurasi;USA;Basketball;2004–2016;Summer;F;4;0;0;4
172;Carl Schuhmann;NEM;Gymnastics, Wrestling;1896;Summer;M;4;0;0;4
172;Vladimir Salnikov;USSR;Swimming;1980–1988;Summer;M;4;0;0;4
172;Henri Saint Cyr;SWE;Equestrian;1952–1956;Summer;M;4;0;0;4
172;Paulo Radmilovic;GBR;Water polo, Swimming;1908–1920;Summer;M;4;0;0;4
172;Matthew Pinsent;GBR;Rowing;1992–2004;Summer;M;4;0;0;4
172;Carlo Pavesi;ITA;Fencing;1952–1960;Summer;M;4;0;0;4
172;Jesse Owens;USA;Athletics;1936;Summer;M;4;0;0;4
172;Caroline Ouellette;CAN;Ice hockey;2002–2014;Winter;F;4;0;0;4
172;Al Oerter;USA;Athletics;1956–1968;Summer;M;4;0;0;4
172;Pat McCormick;USA;Diving;1952–1956;Summer;F;4;0;0;4
172;Lisa Leslie;USA;Basketball;1996–2008;Summer;F;4;0;0;4
172;Viktor Krovopuskov;USSR;Fencing;1976–1980;Summer;M;4;0;0;4
172;Lenny Krayzelburg;USA;Swimming;2000–2004;Summer;M;4;0;0;4
172;Alvin Kraenzlein;USA;Athletics;1900;Summer;M;4;0;0;4
172;Robert Korzeniowski;POL;Athletics;1996–2004;Summer;M;4;0;0;4
172;Laura Kenny;GBR;Cycling;2012–2016;Summer;F;4;0;0;4
172;Michael Johnson;USA;Athletics;1992–2000;Summer;M;4;0;0;4
172;Kaori Icho;JPN;Wrestling;2004–2016;Summer;F;4;0;0;4
172;Jenő Fuchs;HUN;Fencing;1908–1912;Summer;M;4;0;0;4
172;Mohamed Farah;GBR;Athletics;2012–2016;Summer;M;4;0;0;4
172;Anastasia Ermakova;RUS;Synchronized swimming;2004–2008;Summer;F;4;0;0;4
172;Paul Bert Elvstrøm;DNK;Sailing;1948–1960;Summer;M;4;0;0;4
172;Harrison Dillard;USA;Athletics;1948–1952;Summer;M;4;0;0;4
172;Deng Yaping;CHN;Table tennis;1992–1996;Summer;F;4;0;0;4
172;Tamás Darnyi;HUN;Swimming;1988–1992;Summer;M;4;0;0;4
172;Betty Cuthbert;AUS;Athletics;1956–1964;Summer;F;4;0;0;4
172;Dario Cologna;CHE;Cross-country skiing;2010–2018;Winter;M;4;0;0;4
172;Tamika Catchings;USA;Basketball;2004–2016;Summer;F;4;0;0;4
172;Fanny Blankers-Koen;NLD;Athletics;1948;Summer;F;4;0;0;4
172;Sue Bird;USA;Basketball;2004–2016;Summer;F;4;0;0;4
172;Tobias Arlt;NEM;Luge;2014–2018;Winter;M;4;0;0;4
172;Simon Ammann;CHE;Ski jumping;2002–2010;Winter;M;4;0;0;4
